Model,Trial,Seed,Global_Best_Fitness,PS,RS,NPV,F1S,F2S,SS,CKS,GMS,AUC,LS,AS
GA,0,7,0.7465085638998683,0.6445182724252492,0.6178861788617886,0.6445182724252492,0.6279761904761905,0.6212785080328053,0.6178861788617886,0.5582018285489032,1.1265751686572119,0.45934959349593496,1.7151500418658672,0.8
GA,1,8,0.7503335385878489,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.509681444365198,1.1125928950240838,0.43902439024390244,1.446449423843832,0.76
GA,2,11,0.7564448310859795,0.7275747508305648,0.6856368563685638,0.7275747508305648,0.7023809523809523,0.6914953376025166,0.6856368563685638,0.6465614628391226,1.0682810980029118,0.548780487804878,2.1261558130531473,0.84
GA,3,15,0.7430555555555556,0.5871212121212122,0.5623306233062331,0.5871212121212122,0.5686274509803921,0.5637591575091575,0.5623306233062331,0.492456602851477,1.2557091478525535,0.3814363143631436,1.438675371602201,0.78
GA,4,20,0.7342475733356189,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.591401203637665,1.0585110528005521,0.5257452574525745,1.7699634990929853,0.8
GA,5,21,0.7492399520263296,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.591401203637665,1.0585110528005521,0.5257452574525745,1.7699634990929853,0.8
GA,6,22,0.7319803639846744,0.7765151515151515,0.6978319783197832,0.7765151515151515,0.7254901960784313,0.7068452380952381,0.6978319783197832,0.6770178381782126,1.073252110372429,0.5602981029810298,2.3923174837808983,0.86
GA,7,23,0.7512462285189558,0.6818181818181819,0.6300813008130082,0.6818181818181819,0.6470588235294118,0.6353021978021978,0.6300813008130082,0.5847372205148449,1.133593503828099,0.46951219512195125,1.9154964276915496,0.82
GA,8,24,0.7337405816882496,0.675990675990676,0.7046070460704608,0.675990675990676,0.6875,0.6969919295671312,0.7046070460704608,0.6184072396767717,1.0231543159083225,0.589430894308943,1.8098432732579073,0.8
GA,9,27,0.7577123983557414,0.6445182724252492,0.6178861788617886,0.6445182724252492,0.6279761904761905,0.6212785080328053,0.6178861788617886,0.5582018285489032,1.1265751686572119,0.45934959349593496,1.7151500418658672,0.8
